                           GameCube Game List.

    ----------------------------------------------------------------------------
    N    Game Title                                         Release Date  GameID
    ----------------------------------------------------------------------------

    Year 2001 (20 games).

    0001 Disney's Tarzan: Untamed                           Nov 10, 2001   GTZE
    0002 Madden NFL 2002                                    Nov 18, 2001   GMDE
    0003 SSX Tricky                                         Nov 18, 2001   GSTE
    0004 NHL Hitz 2002                                      Nov 18, 2001   GNHE
    0005 All-Star Baseball 2002                             Nov 18, 2001   GA2E
    0006 Tony Hawk's Pro Skater 3                           Nov 18, 2001   GT3E
    0007 Super Monkey Ball                                  Nov 18, 2001   GMBE
    0008 Luigi's Mansion                                    Nov 18, 2001   GLME
    0009 Wave Race: Blue Storm                              Nov 18, 2001   GWRE
    0010 Star Wars: Rogue Squadron II: Rogue Leader         Nov 18, 2001   GSWE
    0011 Batman: Vengeance                                  Nov 18, 2001   GBVE
    0012 FIFA Soccer 2002                                   Nov 24, 2001   GFSE
    0013 Dave Mirra Freestyle BMX 2                         Nov 27, 2001   GBXE
    0014 Crazy Taxi                                         Nov 30, 2001   GCTE
    0015 XG3 Extreme G Racing                               Dec 01, 2001   G3EE
    0016 Super Smash Bros. Melee                            Dec 03, 2001   GALE
    0017 Pikmin                                             Dec 03, 2001   GPIE
    0018 Simpsons Road Rage, The                            Dec 07, 2001   GSPE
    0019 NFL Quarterback Club 2002                          Dec 10, 2001   GQBE
    0020 Universal Studios Theme Parks Adventure            Dec 17, 2001   GUSE

    Year 2002 (146 games).

    0021 Cel Damage                                         01/08/2002 
    0022 NBA Courtside 2002                                 01/14/2002 
    0023 ESPN International Winter Sports 2002              01/31/2002 
    0024 Smashing Drive                                     02/01/2002   
    0025 Dark Summit                                        02/06/2002   
    0026 Sonic Adventure 2 Battle                           02/12/2002  
    0027 18 Wheeler American Pro Trucker                    02/19/2002 
    0028 NBA Street                                         02/23/2002  
    0029 Jeremy McGrath Supercross World                    02/27/2002   
    0030 All-Star Baseball 2003                             02/28/2002  
    0031 Bloody Roar: Primal Fury                           03/01/2002 
    0032 Pac-Man World 2                                    03/01/2002
    0033 Gauntlet: Dark Legacy                              03/05/2002    
    0034 SpyHunter                                          03/11/2002 
    0035 NFL Blitz 20-02 (GCN)                              03/18/2002   
    0036 Home Run KING                                      03/19/2002  
    0037 James Bond 007: Agent under Fire                   03/19/2002 
    0038 Disney's Donald Duck: Goin' "Quackers" (GCN)       03/26/2002 
    0039 Sega Soccer Slam                                   03/26/2002  
    0040 Sega Sports: NBA 2K2                               03/26/2002 
    0041 Driven                                             03/26/2002 
    0042 Resident Evil                                      04/01/2002
    0043 Burnout                                            04/01/2002 
    0044 ESPN MLS Extra Time 2002                           04/09/2002 
    0045 Spider-Man (GCN)                                   04/17/2002  
    0046 FIFA World Cup 2002                                04/25/2002 
    0047 Lost Kingdoms                                      05/01/2002 
    0048 ZooCube                                            05/05/2002  
    0049 Legends of Wrestling                               05/10/2002 
    0050 Virtua Striker 2002                                05/20/2002    
    0051 Bomberman Generation                               06/06/2002 
    0052 WWE WrestleMania X8                                06/12/2002   
    0053 Eternal Darkness: Sanity's Requiem                 06/24/2002   
    0054 F1 2002                                            06/24/2002  
    0055 MX Superfly                                        06/25/2002  
    0056 RedCard 20-03                                      06/27/2002  
    0057 Tetris Worlds (GCN)                                06/30/2002 
    0058 UFC: Throwdown                                     07/23/2002 
    0059 NCAA Football 2003                                 07/24/2002  
    0060 Turok Evolution                                    08/01/2002 
    0061 Aggressive Inline                                  08/05/2002  
    0062 Madden NFL 2003                                    08/10/2002   
    0063 Disney's Magical Mirror Starring Mickey Mouse      08/12/2002      
